Company Name,SCM Practices,Supplier Count,Inventory Turnover Ratio,Lead Time (days),Order Fulfillment Rate (%),Customer Satisfaction (%),Technology Utilized,Environmental Impact Score,Supply Chain Agility,Supplier Lead Time Variability (days),Inventory Accuracy (%),Transportation Cost Efficiency (%),Supply Chain Integration Level,Sustainability Practices,Supply Chain Complexity Index,Cost of Goods Sold (COGS),Operational Efficiency Score,Revenue Growth Rate out of (15),Supply Chain Risk (%),Supplier Collaboration Level,Supply Chain Resilience Score,Supplier Relationship Score
Teradata,Agile SCM,150,6,10,92,90,"ERP, AI, Blockchain",75,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
Qlik,Agile SCM,250,6,9,93,92,"ERP, AI, Blockchain",75,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
Looker,Agile SCM,300,10,7,98,94,"AI, ERP, Blockchain",75,High,1,98,92,High,Advanced,High,$1500B,90,12,3,High,95,90
Domo,Cross-Docking,"100,000",8.3,2,98,90,"AI, ERP, Blockchain",75,High,1,98,90,High,Advanced,High,$500B,80,12,5,High,90,85
MicroStrategy,Agile SCM,200,6,10,92,90,"ERP, AI, Blockchain",75,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85
ThoughtSpot,Lean Manufacturing,"10,000",5,15,91,89,"ERP, AI, Blockchain",65,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80
Sisense,Just-In-Time,"1,000,000",7.5,3,97,91,"AI, Robotics, Blockchain",75,High,1,98,90,High,Advanced,High,"$1,200B",85,18,5,High,90,88
Talend,Agile SCM,200,6,12,91,90,"ERP, AI, Blockchain",75,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85
Collibra,Demand-Driven SCM,300,6,10,94,91,"ERP, AI, Blockchain",70,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85
Alation,Vendor Managed Inventory,150,4,11,91,90,"ERP, AI, Blockchain",80,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85
Trifacta,Vendor Managed Inventory,100,4.2,12,91,89,"ERP, AI, Blockchain",80,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
Reltio,Vendor Managed Inventory,100,4.5,10,90,88,"ERP, AI, Blockchain",80,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85
DataRobot,Lean Manufacturing,300,5,22,89,87,"ERP, AI, Blockchain",75,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80
Dataiku,Lean Manufacturing,400,4.5,18,90,88,"ERP, AI, Robotics",75,High,5,97,85,High,Advanced,Medium,$900B,85,11,10,Medium,85,85
Domino Data Lab,Lean Manufacturing,400,4,18,88,85,"ERP, JIT, Robotics",70,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80
Anaconda,Lean Manufacturing,300,5,18,87,85,"ERP, AI, Robotics",75,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80
Kaggle,Agile SCM,150,5.8,10,93,92,"ERP, AI, Blockchain",75,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85
MathWorks,Lean Manufacturing,500,5.5,14,90,88,"ERP, AI, Blockchain",70,Medium,4,97,85,Medium,Advanced,Medium,$800B,85,9,12,Medium,85,85
RapidMiner,Agile SCM,300,10.5,8,94,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,85,12,7,High,90,85
KNIME,Lean Manufacturing,200,5.8,15,91,90,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,85
H2O.ai,Cross-Docking,"20,000",7,4,95,90,"AI, ERP, Blockchain",,High,1,98,88,High,Advanced,High,$300B,80,12,5,High,90,85
Altair,Agile SCM,500,5.2,15,95,88,"ERP, AI, Blockchain",,High,10,95,80,High,Advanced,Medium,$1000B,78,8,12,Medium,88,85
OpenAI,Lean Manufacturing,100,6,12,89,91,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80
DeepMind,Agile SCM,200,7.2,8,94,88,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85
Element AI,Sustainable SCM,"20,000",6,11,90,91,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Nuro,Agile SCM,400,5.5,9,93,89,"ERP, AI, Blockchain",,High,2,97,88,High,Advanced,Medium,$700B,85,10,7,High,90,85
Zoox,Lean Manufacturing,"1,500",7,5,93,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$500B,85,11,5,High,90,85
Aurora,Agile SCM,200,4.5,10,92,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85
Waymo,Demand-Driven SCM,500,10,10,92,91,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,80,12,8,High,89,85
Johnson & Johnson,Agile SCM,300,5,8,94,87,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,85,12,7,High,90,85
Pfizer,Lean Manufacturing,500,6,20,89,93,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,80,9,12,Medium,85,80
Merck,Agile SCM,250,5,7,98,85,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90
Novartis,Lean Manufacturing,300,4.2,18,87,92,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80
Roche,Agile SCM,250,6.5,9,93,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
Sanofi,Lean Manufacturing,"10,000",7.5,15,91,89,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80
GSK,Vendor Managed Inventory,100,5.8,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
AstraZeneca,Efficient Consumer Response,"75,000",5,10,90,85,"ERP, AI, Blockchain",,High,5,96,85,High,Advanced,Medium,$350B,82,11,8,High,87,85
AbbVie,Sustainable SCM,"70,000",5.5,12,88,88,"AI, ERP, Blockchain",,Medium,4,97,80,Medium,Advanced,Medium,$400B,75,8,15,Medium,80,78
Amgen,Lean Manufacturing,100,6.5,12,89,89,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80
Bristol-Myers Squibb,Agile SCM,200,6,12,90,88,"ERP, AI, Blockchain",,High,4,97,85,High,Advanced,Medium,$700B,80,9,8,High,88,85
Eli Lilly,Lean Manufacturing,500,5,14,90,90,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,85,9,12,Medium,85,85
Bayer,Agile SCM,300,5.8,10,92,91,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,85,11,8,High,88,85
Takeda,Demand-Driven SCM,300,4,10,94,87,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85
Biogen,Lean Manufacturing,500,4.5,14,88,89,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$500B,80,10,10,Medium,85,80
Regeneron,Agile SCM,400,5.5,8,94,90,"ERP, AI, Blockchain",,High,2,98,85,High,Advanced,Medium,$800B,85,10,5,High,90,85
Vertex,Vendor Managed Inventory,150,5.8,11,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85
Moderna,Vendor Managed Inventory,100,5.2,10,90,89,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85
Gilead Sciences,Agile SCM,200,4.2,11,90,92,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$600B,85,10,8,High,88,85
CSL Behring,Agile SCM,150,8.2,10,93,88,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85
Alcon,Sustainable SCM,"20,000",4.2,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Bausch Health,Vendor Managed Inventory,100,5,12,91,92,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
Illumina,Just-In-Time,"1,300,000",5.8,2,98,89,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",85,20,5,High,90,85
Thermo Fisher Scientific,Vendor Managed Inventory,200,4,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
Bio-Rad Laboratories,Lean Manufacturing,300,4,18,87,88,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80
PerkinElmer,Lean Manufacturing,100,6,12,89,85,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80
Agilent Technologies,Lean Manufacturing,400,4.5,18,88,90,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80
Danaher,Vendor Managed Inventory,150,6.5,11,91,90,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85
Quest Diagnostics,Agile SCM,150,6,10,92,88,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
LabCorp,Vendor Managed Inventory,100,4.2,10,90,90,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85
Siemens Healthineers,Agile SCM,300,4.5,10,92,90,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,85,11,8,High,88,85
GE Healthcare,Agile SCM,150,10,10,92,85,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85
Philips Healthcare,Lean Manufacturing,500,6.2,20,88,88,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,80
Medtronic,Lean Manufacturing,400,4.2,18,90,94,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,85,11,10,Medium,85,85
Abbott Laboratories,Agile SCM,300,5,7,98,91,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,90,12,3,High,95,90
Boston Scientific,Lean Manufacturing,300,6,10,93,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85
Stryker,Vendor Managed Inventory,100,5,12,91,87,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
Zimmer Biomet,Lean Manufacturing,300,5.2,22,89,91,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80
Intuitive Surgical,Demand-Driven SCM,300,4.2,10,94,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85
Edwards Lifesciences,Lean Manufacturing,"10,000",4.2,15,91,88,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80
Becton Dickinson,Sustainable SCM,"20,000",5.8,11,90,85,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Hologic,Lean Manufacturing,500,4,20,88,89,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,80
ResMed,Vendor Managed Inventory,200,10,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
Dexcom,Lean Manufacturing,100,4,12,89,90,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80
Masimo,Vendor Managed Inventory,150,6,11,91,93,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85
Align Technology,Agile SCM,250,5.2,7,98,85,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90
Cooper Companies,Lean Manufacturing,400,6,18,88,90,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80
Hill-Rom,Agile SCM,200,50,12,91,88,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85
Teleflex,Sustainable SCM,"20,000",6.2,11,90,85,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Envista Holdings,Lean Manufacturing,500,4.2,14,90,94,"ERP, JIT, Robotics",,High,5,98,85,High,Advanced,Medium,$700B,80,10,10,Medium,85,80
Cardinal Health,Agile SCM,200,10,7,99,91,"AI, ERP, Blockchain",,High,2,98,92,High,Advanced,Low,$1200B,88,15,3,High,95,90
McKesson,Lean Manufacturing,300,5.2,10,93,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85
AmerisourceBergen,Vendor Managed Inventory,100,3.5,12,91,93,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
Henry Schein,Agile SCM,250,8.2,7,98,88,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90
Owens & Minor,Sustainable SCM,"20,000",5.2,11,90,93,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80
Patterson Companies,Vendor Managed Inventory,150,7,9,92,92,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$800B,85,12,8,High,88,85
Cerner,Just-In-Time,"1,300,000",5.5,2,98,89,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",85,20,5,High,90,85
Allscripts,Lean Manufacturing,200,6,15,91,91,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,85
Epic Systems,Agile SCM,200,6,8,94,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85
McKesson Technology Solutions,Demand-Driven SCM,500,10,10,92,90,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,80,12,8,High,89,85
Optum,Agile SCM,150,8.3,10,92,92,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
Athenahealth,Agile SCM,250,6,9,93,94,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85
Meditech,Agile SCM,300,5,7,98,90,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,90,12,3,High,95,90
NextGen Healthcare,Cross-Docking,"100,000",7.5,2,98,90,"AI, ERP, Blockchain",,High,1,98,90,High,Advanced,High,$500B,80,12,5,High,90,85
eClinicalWorks,Agile SCM,200,6,10,92,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85
Greenway Health,Lean Manufacturing,"10,000",6,15,91,91,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80
CPSI,Just-In-Time,"1,000,000",4,3,97,90,"AI, Robotics, Blockchain",,High,1,98,90,High,Advanced,High,"$1,200B",85,18,5,High,90,88
GE Centricity,Agile SCM,200,4.2,12,91,91,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85
Siemens Soarian,Demand-Driven SCM,300,4.5,10,94,90,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85
IBM Watson Health,Vendor Managed Inventory,150,5,11,91,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85
Philips Wellcentive,Vendor Managed Inventory,100,4.5,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85
Change Healthcare,Vendor Managed Inventory,100,4,10,90,87,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85
